ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
7790070012050,Aceite de Girasol Cocinero 900 Ml,Cocinero,Almacén,Aceites,Aceite girasol,5,24,2367,4339.46435546875,2.0,0.0,0.0,0.0,0.0,0.0
7790272001029,Aceite de Girasol Natura 1.5 Lt,Natura,Almacén,Aceites,Aceite girasol,5,24,2488,7224.66650390625,0.0,0.0,2.0,0.0,0.0,0.0
7790272001005,Aceite de Girasol Natura 900 Ml,Natura,Almacén,Aceites,Aceite girasol,5,24,2481,4637.5,0.0,2.0,0.0,0.0,2.0,0.0
7790070231833,Aceite de Oliva Extra Virgen Lira 500 Ml,Lira,Almacén,Aceites,Aceite oliva,5,24,1081,15368.5712890625,0.0,1.0,1.0,0.0,1.0,0.0
7791866000381,Kétchup Natura 250 Gr,Natura,Almacén,Aderezos,Ketchup/Mostaza,5,24,2488,1742.0,0.0,1.0,1.0,0.0,1.0,0.0
7791866001203,Mayonesa Doypack Natura 237 Gr,Natura,Almacén,Aderezos,Mayonesa,5,24,2503,1550.0,1.0,0.0,0.0,0.0,0.0,0.0
7791866001364,Mayonesa Doypack Natura 500 Ml,Natura,Almacén,Aderezos,Mayonesa,5,24,2503,3040.0,0.0,1.0,0.0,0.0,1.0,0.0
7794000006072,Mayonesa Regular Doypack Hellmanns 475 Gr,Hellmanns,Almacén,Aderezos,Mayonesa,5,24,2479,2999.0,0.0,0.0,2.0,0.0,0.0,0.0
7790150540183,Orégano sin TACC Alicante 25 Gr,Alicante,Almacén,Aderezos,Condimentos (oregano/pimenton),5,24,2434,1583.0,1.0,1.0,1.0,0.0,1.0,0.0
7790072001014,Sal Fina en Paquete Celusal 500 Gr,Celusal,Almacén,Aderezos,Sal fina,5,24,2503,1549.0,1.0,1.0,1.0,0.0,1.0,0.0
7791866000480,Salsa Golf Natura 250 Cc,Natura,Almacén,Aderezos,Salsa golf/aderezo,5,24,2493,1851.0,0.0,0.0,1.0,0.0,0.0,0.0
7790130000058,Vinagre de Alcohol Menoyo 1 Lt,Menoyo,Almacén,Aderezos,Vinagre,5,24,2306,1965.0,1.0,1.0,0.0,0.0,1.0,0.0
