necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Arroz,Popular,7791120031557,Arroz Largo Fino 00000 Molinos Ala 1 Kg,Molinos Ala,Almacén,Arroz y Legumbres,Arroz Largo,kg,4.0,1.0,4.0,1878.4,1878.4,5,24,2423,Arroz,True
Arroz,Media,7791120031564,Arroz Largo Fino 00000 Molinos Ala 500 Gr,Molinos Ala,Almacén,Arroz y Legumbres,Arroz Largo,kg,3.5,0.5,7.0,2123.7,1061.9,5,24,1785,Arroz,True
Arroz,Ejecutiva,7791120021558,Arroz Doble Carolina Molinos Ala 1 Kg,Molinos Ala,Almacén,Arroz y Legumbres,Arroz Largo,kg,3.0,1.0,3.0,2868.4,2868.4,5,24,1893,Arroz,True
Arroz,Representativa,7791120037559,Arroz Parboil Molinos Ala 1 Kg,Molinos Ala,Almacén,Arroz y Legumbres,Arroz Largo,kg,3.708,1.0,4.0,1990.0,1990.0,5,24,2418,Arroz,True
Fideos secos,Popular,7790070336118,Fideos Tallarín N5 Lucchetti 500 Gr,Luchetti,Almacén,Pastas Secas,Pastas Secas,kg,6.0,0.5,12.0,3489.3,1744.6,5,24,2481,Fideos,True
Fideos secos,Media,7790070320001,Fideos Cabellos de Ángel Matarazzo 500 Gr,Matarazzo,Almacén,Pastas Secas,Pastas Secas,kg,5.0,0.5,10.0,6157.1,3078.6,4,24,2383,Fideos,True
Fideos secos,Ejecutiva,7790070335982,Fideos Tirabuzón sin Gluten Matarazzo 500 Gr,Matarazzo,Almacén,Pastas Secas,Pastas Secas,kg,4.0,0.5,8.0,9700.0,4850.0,4,24,1405,Fideos,True
Fideos secos,Representativa,7790070336385,Fideos Spaghetti N7 Lucchetti 500 Gr,Lucchetti,Almacén,Pastas Secas,Pastas Secas,kg,5.3766,0.5,11.0,3489.3,1744.6,5,24,2480,Fideos,True
Harina de trigo,Popular,7792180139320,Harina 000 Fortificada con Calcio Cañuelas 1 Kg,Cañuelas,Almacén,Harinas,Harina de Trigo,kg,4.0,1.0,4.0,995.0,995.0,5,24,2408,Harina de trigo,True
Harina de trigo,Media,7790199000020,Harina de Trigo 0000 Morixe 1 Kg,Morixe,Almacén,Harinas,Harina de Trigo,kg,3.0,1.0,3.0,1313.1,1313.1,4,23,2177,Harina de trigo,True
Harina de trigo,Ejecutiva,7790070562265,Harina 0000 con Vitamina Zinc Favorita 1 Kg,Favorita,Almacén,Harinas,Harina de Trigo,kg,2.0,1.0,2.0,1640.0,1640.0,5,24,2425,Harina de trigo,True
Harina de trigo,Representativa,7790070562258,Harina 000 con Vitamina Zinc Favorita 1 Kg,Favorita,Almacén,Harinas,Harina de Trigo,kg,3.3371999999999997,1.0,3.0,1188.0,1188.0,5,24,2464,Harina de trigo,True
Harina de maiz / polenta,Popular,7791120103858,Polenta Instantánea Molinos Ala 500 Gr,Molinos Ala,Almacén,Harinas,Harina de Maíz,kg,0.9,0.5,2.0,1624.4,812.2,4,24,1363,Otras harinas (maiz),True
Harina de maiz / polenta,Media,7790580138721,Polenta Prestopronta 730 Gr,Prestopronta,Almacén,Harinas,Harina de Maíz,kg,0.6,0.73,1.0,3397.3,2480.0,5,24,2375,Otras harinas (maiz),True
Harina de maiz / polenta,Ejecutiva,7790580138738,Harina de Maíz Paquete Prestopronta 500 Gr,Prestopronta,Almacén,Harinas,Harina de Maíz,kg,0.4,0.5,1.0,3536.0,1768.0,5,24,2459,Otras harinas (maiz),True
Harina de maiz / polenta,Representativa,7790580138738,Harina de Maíz Paquete Prestopronta 500 Gr,Prestopronta,Almacén,Harinas,Harina de Maíz,kg,0.6489,0.5,1.5,3536.0,1768.0,5,24,2459,Otras harinas (maiz),True
Azucar,Popular,7799086000389,Azúcar Domino 1 Kg,Domino,Almacén,Azúcar y Edulcorantes,Azúcar,kg,4.0,1.0,4.0,1455.0,1455.0,4,19,1311,Azucar,True
Azucar,Media,7798174970016,Azúcar Común Azucel 1 Kg,Azucel,Almacén,Azúcar y Edulcorantes,Azúcar,kg,3.5,1.0,4.0,1509.0,1509.0,5,24,1181,Azucar,True
Azucar,Ejecutiva,7792540250450,Azúcar Molida Superior Ledesma 1 Kg,Ledesma,Almacén,Azúcar y Edulcorantes,Azúcar,kg,2.5,1.0,2.5,1565.0,1565.0,5,24,2079,Azucar,True
Azucar,Representativa,7792540250450,Azúcar Molida Superior Ledesma 1 Kg,Ledesma,Almacén,Azúcar y Edulcorantes,Azúcar,kg,3.8007,1.0,4.0,1565.0,1565.0,5,24,2079,Azucar,True
Aceite de girasol,Popular,7792180001641,Aceite de Girasol Cañuelas 900 Ml,Cañuelas,Almacén,Aceites,Aceite de Girasol,kg,3.7,0.9,4.0,4572.2,4115.0,4,24,2247,Aceite,True
Aceite de girasol,Media,7790070012050,Aceite de Girasol Cocinero 900 Ml,Cocinero,Almacén,Aceites,Aceite de Girasol,kg,3.2,0.9,4.0,4821.6,4339.5,5,24,2367,Aceite,True
Aceite de girasol,Ejecutiva,7790272001005,Aceite de Girasol Natura 900 Ml,Natura,Almacén,Aceites,Aceite de Girasol,kg,2.6,0.9,3.0,5152.8,4637.5,5,24,2481,Aceite,True
Aceite de girasol,Representativa,7798316700808,Aceite de Girasol Legítimo 900 Ml,Legítimo,Almacén,Aceites,Aceite de Girasol,kg,3.708,0.9,4.0,4656.5,4190.9,5,24,2146,Aceite,True
Aceite de oliva,Media,7790272008394,Aceite de Oliva Extra Vírgen Suave Natura 500 Ml,Natura,Almacén,Aceites,Aceite de Oliva,kg,0.3,0.5,0.5,29820.0,14910.0,4,24,2315,,True
Aceite de oliva,Ejecutiva,7798080520084,Aceite de Oliva Extra Virgen Vidrio La Toscana 250 Ml,La Toscana,Almacén,Aceites,Aceite de Oliva,kg,0.7,0.25,3.0,40792.0,10198.0,4,24,1547,,True
Aceite de oliva,Representativa,7790070231864,Aceite de Oliva Cocinero 500 Cc,Cocinero,Almacén,Aceites,Aceite de Oliva,kg,0.25,0.5,0.5,28120.0,14060.0,4,24,2227,,True
Tomate envasado,Popular,7790088001497,Puré de Tomate en Tetrabrik Alco 520 Gr,Alco,Almacén,Conservas,Tomates y Salsas,kg,2.4,0.52,5.0,2067.3,1075.0,4,22,1060,Hortalizas,True
Tomate envasado,Media,7793360000157,Puré de Tomate Tetrabrik Salsati La Campagnola 520 Gr,La Campagnola,Almacén,Conservas,Tomates y Salsas,kg,2.2,0.52,4.0,2967.3,1543.0,5,24,2363,Hortalizas,True
Tomate envasado,Ejecutiva,7790580567101,Tomate Perita Cubeteado en Lata Arcor 400 Gr,Arcor,Almacén,Conservas,Tomates y Salsas,kg,2.0,0.4,5.0,4540.4,1816.1,5,24,1782,Hortalizas,True
Tomate envasado,Representativa,7790580138868,Puré de Tomate La Campagnola 530 Gr,La Campagnola,Almacén,Conservas,Tomates y Salsas,kg,2.2,0.53,4.0,2492.6,1321.1,5,24,2476,Hortalizas,True
Arvejas en lata,Popular,7792350067019,Arvejas Secas Remojadas Inalpa 300 Gr,Inalpa,Almacén,Conservas,Conservas de Verdura y Legumbres,kg,0.9,0.3,3.0,2563.3,769.0,5,24,1069,Hortalizas,True
Arvejas en lata,Media,7797470007426,Arvejas Secas Remojadas Marolio 200 Gr,Marolio,Almacén,Conservas,Conservas de Verdura y Legumbres,kg,0.9,0.2,4.0,4495.0,899.0,4,22,1075,Hortalizas,True
Arvejas en lata,Ejecutiva,7793360132384,Arvejas Secas Remojadas La Campagnola 300 Gr,La Campagnola,Almacén,Conservas,Conservas de Verdura y Legumbres,kg,0.9,0.3,3.0,5076.7,1523.0,4,23,1547,Hortalizas,True
Arvejas en lata,Representativa,7790580132392,Arvejas Secas Remojadas sin Conservantes Lata Arcor 300 Gr,Arcor,Almacén,Conservas,Conservas de Verdura y Legumbres,kg,0.9,0.3,3.0,4482.8,1344.8,5,24,2155,Hortalizas,True
Sal fina,Popular,7790072001014,Sal Fina en Paquete Celusal 500 Gr,Celusal,Almacén,Aderezos,Sal y Pimienta,kg,0.4,0.5,1.0,3098.0,1549.0,5,24,2503,Sal fina,True
Sal fina,Media,7790072001038,Sal Fina en Salero Celusal 500 Gr,Celusal,Almacén,Aderezos,Sal y Pimienta,kg,0.35,0.5,0.5,8212.0,4106.0,4,23,1741,Sal fina,True
