sepa_id,desc,marca,rubro,cad,prov,suc,Popular,Media,Ejecutiva,Tecnologica,Representativa
7790070012050,Aceite de Girasol Cocinero 900 Ml,Cocinero,Aceites y grasas,5,24,2367,2.0,0.0,0.0,0,0.0
7790272001029,Aceite de Girasol Natura 1.5 Lt,Natura,Aceites y grasas,5,24,2488,0.0,0.0,2.0,0,0.0
7790272001005,Aceite de Girasol Natura 900 Ml,Natura,Aceites y grasas,5,24,2481,0.0,2.0,0.0,0,2.0
7790070231833,Aceite de Oliva Extra Virgen Lira 500 Ml,Lira,Aceites y grasas,5,24,1081,0.0,0.0,1.0,0,0.0
7792540250450,Azúcar Molida Superior Ledesma 1 Kg,Ledesma,Azucar y dulces,5,24,2079,3.0,3.0,2.0,0,3.0
8445291121881,Cacao Paquete Nesquik 360 Gr,Nesquik,Azucar y dulces,5,24,2451,0.0,1.0,1.0,0,1.0
7790490998231,Edulcorante Líquido Clásico Hileret 250 Ml,Hileret,Azucar y dulces,5,24,2476,0.0,0.0,1.0,0,0.0
7790580132163,Mermelada Durazno Arcor 454 Gr,Arcor,Azucar y dulces,5,24,2467,1.0,1.0,0.0,0,1.0
7793360131516,Mermelada de Durazno Bc La Campagnola 390 Gr,La Campagnola,Azucar y dulces,5,24,2463,0.0,0.0,2.0,0,0.0
7792798007387,Cerveza Rubia Cristal Quilmes 1 Lt,Quilmes,Bebidas alcoholicas,5,23,2328,0.0,4.0,0.0,0,4.0
7793147118860,Cerveza Rubia en Lata Schneider 473 Cc,Schneider,Bebidas alcoholicas,5,24,2320,2.0,0.0,0.0,0,0.0
7792798003716,Cerveza en Botella No Retornable Corona 710 Cc,Corona,Bebidas alcoholicas,5,24,2337,0.0,0.0,6.0,0,0.0
7790290001179,Fernet Branca 450 Cc,Branca,Bebidas alcoholicas,5,24,2487,0.0,0.0,1.0,0,0.0
7790240002010,Vino Tinto Cabernet Sauvignon Fond de Cave 750 Cc,Fond De Cave,Bebidas alcoholicas,5,24,2413,0.0,0.0,3.0,0,0.0
7798074864675,Vino Tinto Malbec Portillo 750 Ml,Portillo,Bebidas alcoholicas,5,24,2481,0.0,2.0,0.0,0,2.0
7799155000197,Agua Mineral sin Gas Pet Villavicencio 2 Lt,Villavicencio,Bebidas no alcoholicas,5,24,2495,0.0,6.0,8.0,0,6.0
7792931000039,Agua Mineralizada sin Gas Glaciar 2 Lt,Glaciar,Bebidas no alcoholicas,5,24,2472,4.0,0.0,0.0,0,0.0
7790895640483,Agua Saborizada Manzana sin Gas Aquarius 1.5 Lt,Aquarius,Bebidas no alcoholicas,5,24,2577,0.0,4.0,4.0,0,3.0
7790895000997,Coca Cola Sabor Original 2.25 Lt,Coca Cola,Bebidas no alcoholicas,5,23,2219,0.0,5.0,6.0,0,5.0
7791813888468,Gaseosa Cola Pepsi 2 Lt,Pepsi,Bebidas no alcoholicas,5,24,2475,4.0,0.0,0.0,0,0.0
7790639003468,Gaseosa Lima Limón Classic Cunnington 2.25 Lt,Cunnington,Bebidas no alcoholicas,5,24,2201,2.0,0.0,0.0,0,0.0
7790895001000,Gaseosa Sprite 2.25 Lt,Sprite,Bebidas no alcoholicas,5,24,2508,0.0,2.0,3.0,0,2.0
7790895000737,Jugo Listo Multifruta Cepita 200 Ml,Cepita,Bebidas no alcoholicas,5,24,2683,0.0,3.0,4.0,0,3.0
7622201735685,Jugo en Polvo Sabor Limón Dulce Tang 15 Gr,Tang,Bebidas no alcoholicas,5,24,2282,6.0,6.0,0.0,0,6.0
7790580131364,Atún al Natural Libre de Gluten sin TACC La Campagnola 170 Gr,La Campagnola,Carnes y derivados,5,24,2448,0.0,2.0,3.0,0,2.0
7790670050650,Hamburguesas de Carne Clásicas sin TACC Paty 4 Un 320 Gr,Paty,Carnes y derivados,5,24,2495,0.0,2.0,3.0,0,2.0
7790625001171,Jamón Cocido Feteado Lario 150 Gr,Lario,Carnes y derivados,5,24,1533,2.0,0.0,0.0,0,0.0
7798013102875,Jamón Cocido Genuino Cagnoli 120 Gr,Cagnoli,Carnes y derivados,5,24,1988,0.0,3.0,4.0,0,3.0
7798013100697,Salame Tandilero Tipo Fuet en Pieza Cagnoli 150 Gr,Cagnoli,Carnes y derivados,5,24,2249,0.0,1.0,2.0,0,1.0
7790670052388,Salchicha Clásica Flow Pack Patyviena 6 Un,Patyviena,Carnes y derivados,5,24,2466,2.0,0.0,0.0,0,0.0
7790670052401,Salchichas Vienísima 6 Un,Vienísima,Carnes y derivados,5,24,2475,0.0,2.0,0.0,0,2.0
7794000008557,Caldo de Verdura Knorr 12 Un,Knorr,Condimentos y aderezos,5,24,2482,1.0,1.0,0.0,0,1.0
7791866000381,Kétchup Natura 250 Gr,Natura,Condimentos y aderezos,5,24,2488,0.0,1.0,1.0,0,1.0
7791866001203,Mayonesa Doypack Natura 237 Gr,Natura,Condimentos y aderezos,5,24,2503,1.0,0.0,0.0,0,0.0
7791866001364,Mayonesa Doypack Natura 500 Ml,Natura,Condimentos y aderezos,5,24,2503,0.0,1.0,0.0,0,1.0
7794000006072,Mayonesa Regular Doypack Hellmanns 475 Gr,Hellmanns,Condimentos y aderezos,5,24,2479,0.0,0.0,2.0,0,0.0
7790072001014,Sal Fina en Paquete Celusal 500 Gr,Celusal,Condimentos y aderezos,5,24,2503,1.0,1.0,1.0,0,1.0
7790130000058,Vinagre de Alcohol Menoyo 1 Lt,Menoyo,Condimentos y aderezos,5,24,2306,1.0,1.0,0.0,0,1.0
7500435228763,Pañal Talle XG Baby-dry Hipoalergénico Pampers 36 Un,Pampers,Cuidado del bebe,5,24,2069,0.0,1.0,1.0,0,1.0
7790580132392,Arvejas Secas Remojadas sin Conservantes Lata Arcor 300 Gr,Arcor,Frutas y verduras,5,24,2155,2.0,2.0,3.0,0,2.0
7790580132422,Choclo Amarillo Desgranado Arcor 300 Gr,Arcor,Frutas y verduras,5,24,1769,0.0,2.0,2.0,0,2.0
7793360132469,Garbanzos Secos Remojados Lata La Campagnola 300 Gr,La Campagnola,Frutas y verduras,5,24,1167,1.0,1.0,1.0,0,1.0
7790580567903,Tomate Pelado Perita en Lata Arcor 400 Gr,Arcor,Frutas y verduras,5,24,2403,3.0,3.0,4.0,0,3.0
7791293047515,Acondicionador Oleo Nutrición Dove 400 Cc,Dove,Higiene y cuidado personal,5,24,2785,0.0,1.0,1.0,0,1.0
7790139101053,Alcohol Etílico al 70% Spray Bialcohol 100 Ml,Bialcohol,Higiene y cuidado personal,5,23,1042,0.0,1.0,1.0,0,1.0
5900273001566,Cepillo Dental Colgate Extra Clean 1 Un,Colgate,Higiene y cuidado personal,5,24,2333,0.0,1.0,1.0,0,1.0
7509546687292,Crema Dental Doble Protección Odol 90 Gr,Odol,Higiene y cuidado personal,5,24,2305,1.0,0.0,0.0,0,0.0
7509546702605,Crema Dental Total Original Mint Colgate 90 Gr,Colgate,Higiene y cuidado personal,5,24,2151,0.0,0.0,2.0,0,0.0
7793100111891,Crema Dental Ultra Blanco Colgate 90 Gr,Colgate,Higiene y cuidado personal,5,24,2490,0.0,1.0,0.0,0,1.0
7791293043791,Desodorante Aerosol Marine Axe 150 Cc,Axe,Higiene y cuidado personal,5,24,2773,1.0,0.0,0.0,0,0.0
7791293049557,Desodorante Aerosol Women Nutrivive Rexona 150 Ml,Rexona,Higiene y cuidado personal,5,24,2703,0.0,2.0,3.0,0,2.0
7791293051208,Jabón de Tocador Original Dove 90 Gr,Dove,Higiene y cuidado personal,5,24,2480,0.0,3.0,4.0,0,3.0
7891024034781,Jabón de Tocador con Karite Palmolive 85 Gr,Palmolive,Higiene y cuidado personal,5,24,2232,2.0,0.0,0.0,0,0.0
7791293045740,Shampoo Crema Balance Sedal 340 Ml,Sedal,Higiene y cuidado personal,5,24,2770,1.0,0.0,0.0,0,0.0
7791293047102,Shampoo Reconstrucción Completa Dove 400 Ml,Dove,Higiene y cuidado personal,5,24,2782,0.0,1.0,2.0,0,1.0
7790010002769,Toallas Femeninas con Alas Ultrafina Suave Siempre Libre 8 Un,Siempre Libre,Higiene y cuidado personal,5,24,2760,0.0,2.0,2.0,0,2.0
7790070933638,Café Instantáneo Suave Extra Aroma Arlistán 170 Gr,Arlistán,Infusiones,5,24,2278,1.0,0.0,0.0,0,1.0
8445291082137,Café Instantáneo Suave Origen Dolca 170 Gr,Dolca,Infusiones,5,24,2454,0.0,0.0,1.0,0,0.0
7790550000157,Café Molido Torrado en Bolsa Cabrales 250 Gr,Cabrales,Infusiones,5,24,2482,0.0,1.0,1.0,0,1.0
7790387011852,Mate Cocido Vitamina A y Zinc Saquitos Ensobrados Taragüí 20 Un 60 Gr,Taragüí,Infusiones,5,23,594,1.0,0.0,0.0,0,1.0
7790150355084,Té Verde en Saquitos La Virginia 20 Un,La Virginia,Infusiones,5,24,2446,0.0,0.0,1.0,0,0.0
7790480008261,Té en Saquitos Green Hills 50 Un,Green Hills,Infusiones,5,24,2455,0.0,1.0,0.0,0,1.0
7792710000175,Yerba Mate Amanda 1 Kg,Amanda,Infusiones,5,24,2323,2.0,0.0,0.0,0,0.0
7790387013610,Yerba Mate con Palo 4Flex Taragui 1 Kg,Taragui,Infusiones,5,24,2298,0.0,0.0,2.0,0,0.0
7793704000928,Yerba Suave Playadito 1 Kg,Playadito,Infusiones,5,24,2426,0.0,2.0,0.0,0,2.0
7790742141101,Crema de Leche Uat Tetra Top La Serenísima 330 Ml,La Serenísima,Lacteos y derivados,5,24,2443,0.0,1.0,1.0,0,1.0
7790787153664,Dulce de Leche Clásico Ilolay 400 Gr,Ilolay,Lacteos y derivados,5,24,2204,1.0,0.0,0.0,0,0.0
7790742625304,Dulce de Leche Clásico La Serenísima 400 Gr,La Serenísima,Lacteos y derivados,5,24,2488,0.0,1.0,0.0,0,1.0
7790742067005,Dulce de Leche Repostero La Serenísima 400 Gr,La Serenísima,Lacteos y derivados,5,24,2466,0.0,0.0,2.0,0,0.0
7790742335500,Leche Entera 3% Uat La Serenísima 1 Lt,La Serenísima,Lacteos y derivados,5,24,2236,0.0,24.0,24.0,0,28.0
7798338290028,Leche Entera Larga Vida Tradición Tres Niñas 1 Lt,Tres Niñas,Lacteos y derivados,5,24,2324,24.0,0.0,0.0,0,0.0
7790742333605,Leche UAT Parcialmente Descremada Zero Lactos Serenísima 1 Lt,La Serenísima,Lacteos y derivados,5,24,2472,0.0,6.0,10.0,0,6.0
7798060850026,Manteca Calidad Extra Tonadita 200 Gr,Tonadita,Lacteos y derivados,5,24,2478,1.0,0.0,0.0,0,0.0
7793940054006,Manteca La Serenísima 200 Gr,La Serenísima,Lacteos y derivados,5,24,2483,0.0,2.0,2.0,0,2.0
7791337008472,Postre Vainilla con Rocklets Serenito 120 Gr,Serenito,Lacteos y derivados,5,24,2471,0.0,2.0,3.0,0,2.0
7794990880225,Queso Dambo en Fetas La Paulina 180 Gr,La Paulina,Lacteos y derivados,4,24,1109,0.0,1.0,2.0,0,1.0
7790398100132,Queso Rallado La Paulina 150 Gr,La Paulina,Lacteos y derivados,5,24,2106,0.0,1.0,0.0,0,1.0
7790742222909,Queso Rallado La Serenisima 35 Gr,La Serenisima,Lacteos y derivados,5,24,2194,0.0,0.0,2.0,0,0.0
7790742373809,Queso Untable Cremón Light La Serenísima 280 Gr,La Serenísima,Lacteos y derivados,5,24,2294,0.0,0.0,3.0,0,0.0
7798060852990,Queso Untable Jamón Tonadita 180 Gr,Tonadita,Lacteos y derivados,5,24,2320,2.0,0.0,0.0,0,0.0
7791337061439,Queso Untable Light La Serenisima 290 Gr,La Serenisima,Lacteos y derivados,5,24,2325,0.0,2.0,0.0,0,2.0
7791337009981,Yogur Batido Natural Yogurísimo 190 Gr,Yogurisimo,Lacteos y derivados,5,24,2224,0.0,6.0,0.0,0,6.0
7791337008694,Yogur Bebible Frutilla Danonino 185 Gr,Danonino,Lacteos y derivados,5,24,2428,0.0,4.0,6.0,0,4.0
7793913013566,Yogur Firme Descremado Vainilla Pote Tregar 125 Gr,Tregar,Lacteos y derivados,5,24,2380,4.0,0.0,0.0,0,0.0
7791337007246,Yogur Firme Descremado con Colágeno Vainilla Pote Ser 190 Gr,Ser,Lacteos y derivados,5,24,2456,0.0,0.0,8.0,0,0.0
7790117000200,Bolsas de Residuos de 45 Cm 60 Cm en Rollo Asurin 30 Un,Asurín,Limpieza del hogar,5,24,1489,0.0,1.0,1.0,0,1.0
7790990003039,Detergente Limón Magistral 20 Un 500 Ml,Magistral,Limpieza del hogar,5,24,2478,0.0,2.0,0.0,0,2.0
7791290794054,Detergente Líquido Bioactive Limón Cif 300 Ml,Cif,Limpieza del hogar,5,24,2656,1.0,2.0,2.0,0,2.0
7791290792814,Jabón Líquido para Ropa Bio Encimas Skip 800 Ml,Skip,Limpieza del hogar,5,24,2645,0.0,1.0,2.0,0,1.0
