canasta,necesidad,ean_nuevo,ean_actual
Popular,Harina de maiz / polenta,7790580138738,7791120103858
Popular,Azucar,7792540250450,7799086000389
Popular,Tomate envasado,7790580146115,7790088001497
Popular,Salchichas,7790360970053,7790625010401
Popular,Milanesas / nuggets de pollo,7790070036636,7891515629458
Popular,Bolsas de residuo,7790117000200,7793253007102
Popular,Afeitado,7500435178570,7500435245852
Media,Azucar,7792540250450,7798174970016
Media,Gaseosa cola,7791813888468,7791813828464
Media,Jabon en polvo,7791290792050,7791290796577
Media,Shampoo,7500435229821,7791293051017
Media,Jabon de tocador,7898422746827,7891150095618
Media,Alimento para perro,7797453001526,8445290987938
Media,Insecticida,7790520025869,7790520997623
Ejecutiva,Pan de molde,7793890258776,7793890261486
Ejecutiva,Manteca / margarina,7790398100071,7794820903292
Ejecutiva,Cerveza,7792798001972,7792798014873
Ejecutiva,Jabon en polvo,7791290792050,7791290796577
Ejecutiva,Esponja / trapo,7794440101702,7792459163100
Ejecutiva,Insecticida,7790520025869,7790520508607
Ejecutiva,Acondicionador,7500435202732,7500435247955
Representativa,Jabon de tocador,7891150075382,7791293051208
Representativa,Alimento para perro,7613287613431,8445290977373
Femenina,Rasuradora femenina,7702018072477,7702018874781
