canasta,necesidad,ean_nuevo,ean_actual
Ejecutiva,Arroz,7790070433091,7791120021558
Ejecutiva,Fideos secos,7790070336545,7790070335982
Media,Aceite de oliva,7790070231833,7790272008394
Ejecutiva,Aceite de oliva,7798061190183,7798080520084
Media,Arvejas en lata,7793360132384,7797470007426
Ejecutiva,Chocolate en tableta,7622201818654,7622300631574
Representativa,Vegetales congelados,7790670052562,7790670052586
Media,Jabon en pan,7794218106328,7794218106854
Ejecutiva,Jabon en pan,7794218106328,7794218106854
Representativa,Jabon en pan,7794218106328,7794218106854
Popular,Lavandina,7791905023210,7798131250380
Media,Desodorante,7791293049496,7791293022581
Representativa,Afeitado,7500435211635,7702018037865
Ejecutiva,Algodon / hisopos,7891010560737,7790773007124
Ejecutiva,Jabon liquido para ropa,7791130003643,7791290796409
